%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
233.87, 179.9, 651, PowerFoods, bcaa
50.3, 50.3, 103, NewNutrition, bcaa
56.25, 56.25, 428, Atlhetica Nutrition, bcaa
120, 120, 777, Max Titanium, bcaa
188.99, 188.99, 319, Optimum Nutrition, bcaa
41.67, 41.67, 245, Max Titanium, bcaa
135.9, 135.9, 120, Atlhetica Nutrition, bcaa
52.8, 52.8, 337, Integralmedica, bcaa
99.8, 99.8, 366, Optimum Nutrition, bcaa
279.9, 169.9, 260, Atlhetica Nutrition, bcaa
15.8, 15.8, 366, Atlhetica Nutrition, bcaa
25, 25, 114, Max Titanium, bcaa
44.1, 44.1, 404, Integralmedica, bcaa
87.4, 87.4, 431, Soldiers Nutrition, bcaa
64.11, 64.11, 151, Integralmedica, bcaa
18.9, 18.9, 93, Force Full, bcaa
99.99, 99.99, 501, Max Titanium, bcaa
33.9, 33.9, 231, Integralmedica, bcaa
26.9, 26.9, 210, Mais Nutrition, bcaa
55, 55, 191, Atlhetica Nutrition, bcaa
189.99, 189.99, 269, Optimum Nutrition, bcaa
164.4, 164.4, 94, Integralmedica, bcaa
144.5, 144.5, 322, Integralmedica, bcaa
15.8, 15.8, 83, Atlhetica Nutrition, bcaa
73, 73, 140, Atlhetica Nutrition, bcaa
74.9, 74.9, 264, Integralmedica, bcaa
55, 55, 210, Probiotica, bcaa
198, 198, 3, Sem Marca, bcaa
66.5, 66.5, 37, Atlhetica Nutrition, bcaa
120, 120, 155, Black Skull, bcaa
59.9, 59.9, 310, Probiotica, bcaa
98.99, 98.99, 325, Atlhetica Nutrition, bcaa
17, 17, 86, Atlhetica Nutrition, bcaa
138.8, 138.8, 244, Integralmedica, bcaa
147.4, 147.4, 62, Integralmedica, bcaa
80, 80, 0, Sem Marca, bcaa
129.99, 129.99, 85, Atlhetica Nutrition, bcaa
80, 80, 0, Sem Marca, bcaa
30.9, 30.9, 152, Atlhetica Nutrition, bcaa
23.99, 23.99, 60, Max Titanium, bcaa
144, 144, 654, Atlhetica Nutrition, bcaa
199.99, 199.99, 3, Sem Marca, bcaa
49.99, 49.99, 90, Max Titanium, bcaa
417, 186, 208, Integralmedica, bcaa
17.2, 17.2, 30, Atlhetica Nutrition, bcaa
129, 129, 1123, Atlhetica Nutrition, bcaa
33.9, 33.9, 78, Atlhetica Nutrition, bcaa
165, 165, 42, Integralmedica, bcaa
107.22, 107.22, 219, Integralmedica, bcaa
130, 130, 53, Atlhetica Nutrition, bcaa
110.99, 110.99, 137, Optimum Nutrition, bcaa
